what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463784637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463785879
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1338463785879
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1338463789554
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1338463789574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338463791827
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1338463791827
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338463795833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463798827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463804075
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1338463804125
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1338463804155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463806428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463823011
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1338463825809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463827759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463833689
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1338463837516
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1338463837942
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338463842219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463843040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463845057
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1338463846208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463849545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463857338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338463857475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463859785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463862193
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1338463862225
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1338463862247
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1338463862279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338463864147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338463865205
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1338463865205
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1338463866414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338463867494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463869275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463871361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463871837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463872547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463873139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463875899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463885266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463890183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463890584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463893157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463898125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463899096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463902401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463905435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463911814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463913196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463916591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463917773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463920447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463921799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338463925314
